"subject","group","script","condition","difference","cluster","specify"
"sub-006","expert","french","fw",-0.022075797365472,"french_expert","fw_exp"
"sub-007","expert","french","fw",0.220682420295521,"french_expert","fw_exp"
"sub-008","expert","french","fw",0.435879335317555,"french_expert","fw_exp"
"sub-009","expert","french","fw",0.863872727939968,"french_expert","fw_exp"
"sub-011","control","french","fw",0.304223702136074,"french_control","fw_ctr"
"sub-013","expert","french","fw",0.296323258115444,"french_expert","fw_exp"
"sub-019","control","french","fw",-0.123085250532989,"french_control","fw_ctr"
"sub-020","control","french","fw",0.324621692747105,"french_control","fw_ctr"
"sub-021","control","french","fw",0.325622269528561,"french_control","fw_ctr"
"sub-022","control","french","fw",0.292743786502081,"french_control","fw_ctr"
"sub-024","control","french","fw",0.192768371442264,"french_control","fw_ctr"
"sub-027","control","french","fw",0.266669078384111,"french_control","fw_ctr"
"sub-028","control","french","fw",0.877864059746583,"french_control","fw_ctr"
"sub-006","expert","braille","bw",0.149255166288272,"braille_expert","bw_exp"
"sub-007","expert","braille","bw",-0.292947511404409,"braille_expert","bw_exp"
"sub-008","expert","braille","bw",0.025132377317521,"braille_expert","bw_exp"
"sub-009","expert","braille","bw",0.126533908514405,"braille_expert","bw_exp"
"sub-011","control","braille","bw",0.187344359775001,"braille_control","bw_ctr"
"sub-013","expert","braille","bw",0.463506445490076,"braille_expert","bw_exp"
"sub-019","control","braille","bw",0.222768074566913,"braille_control","bw_ctr"
"sub-020","control","braille","bw",-0.013950302073497,"braille_control","bw_ctr"
"sub-021","control","braille","bw",-0.227386173667335,"braille_control","bw_ctr"
"sub-022","control","braille","bw",-0.284117484366776,"braille_control","bw_ctr"
"sub-024","control","braille","bw",-0.117272890842818,"braille_control","bw_ctr"
"sub-027","control","braille","bw",0.0143478449799971,"braille_control","bw_ctr"
"sub-028","control","braille","bw",-0.87179317361074,"braille_control","bw_ctr"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
